project_id,customer_id,customer_contact_id,sales_rep_id,project_stage,health_status,priority,contract_value,win_probability,last_activity_date,next_followup_date
P001,C001,CC001,SR001,NEGOTIATION,GREEN,P0,6800000,80,2026-07-18,2026-07-25
P002,C001,CC001,SR003,CLOSED_WON,GREEN,P1,4200000,100,2024-11-30,
P003,C002,CC002,SR005,PROPOSAL,AMBER,P1,3600000,65,2026-07-15,2026-07-24
P004,C002,CC003,SR002,CLOSED_WON,GREEN,P2,1800000,100,2023-12-20,
P005,C004,CC004,SR004,SOLUTION,GREEN,P1,5200000,55,2026-07-17,2026-07-28
P006,C005,CC005,SR006,CLOSED_WON,GREEN,P1,7500000,100,2024-02-10,
P007,C006,CC006,SR001,DELIVERY,AMBER,P1,2900000,100,2026-07-19,2026-07-23
P008,C007,CC007,SR003,CLOSED_WON,GREEN,P2,3100000,100,2023-03-30,
P009,C008,CC008,SR005,QUALIFICATION,RED,P2,1600000,35,2026-07-10,2026-07-22
P010,C009,CC009,SR002,CLOSED_WON,GREEN,P1,2400000,100,2024-09-30,
P011,C010,CC010,SR004,PROPOSAL,GREEN,P1,4800000,70,2026-07-20,2026-07-27
P012,C011,CC011,SR006,CLOSED_WON,GREEN,P0,8900000,100,2024-05-01,
P013,C012,CC012,SR001,DISCOVERY,AMBER,P2,2100000,25,2026-07-14,2026-07-26
P014,C013,CC013,SR003,CLOSED_WON,GREEN,P2,1300000,100,2024-01-31,
P015,C014,CC014,SR005,NEGOTIATION,GREEN,P1,5600000,85,2026-07-21,2026-07-24
P016,C015,CC015,SR002,CLOSED_WON,GREEN,P1,6200000,100,2023-06-30,
P017,C016,CC016,SR004,DELIVERY,GREEN,P1,3400000,100,2026-07-18,2026-07-29
P018,C017,CC017,SR006,CLOSED_WON,GREEN,P2,1700000,100,2024-07-01,
P019,C018,CC018,SR001,SOLUTION,RED,P2,1900000,45,2026-07-12,2026-07-23
P020,C019,CC019,SR003,CLOSED_WON,GREEN,P1,3800000,100,2024-12-01,
P021,C020,CC020,SR001,PROPOSAL,AMBER,P1,4500000,60,2026-07-20,2026-07-24
P022,C020,CC020,SR001,CLOSED_WON,GREEN,P2,2800000,100,2024-12-18,
P023,C021,CC021,SR005,NEGOTIATION,GREEN,P1,6200000,75,2026-07-19,2026-07-25
P024,C021,CC021,SR005,CLOSED_WON,GREEN,P2,3600000,100,2024-05-30,
P025,C022,CC022,SR004,QUALIFICATION,RED,P1,5100000,40,2026-07-18,2026-07-23
P026,C022,CC022,SR004,DELIVERY,AMBER,P1,7400000,100,2026-07-21,2026-07-26
